edad_anios,antiguedad_laboral_anios,amt_income_total,amt_credit,amt_annuity,calificacion_region_ciudad,CODE_GENDER,ORGANIZATION_TYPE,NAME_EDUCATION_TYPE,default
50,2.6784597792374116,49080.77584460545,78620.29009888317,5349.903450663717,2,F,Business Entity,Incomplete higher,1
29,7.009377065362171,48491.21367248358,76657.27970795451,4046.2507089940505,2,M,Business Entity,Higher education,0
39,10.257903283977141,23148.614372097894,76570.838913023,7615.708365089614,3,M,Self-employed,Higher education,0
61,5.681235791075119,50468.067422495944,161239.70675352652,12262.444158860872,2,M,Other,Secondary / secondary special,1
42,2.6539916211676777,30024.093607868177,91587.60839619026,9844.549752023227,2,F,Self-employed,Secondary / secondary special,0
66,7.003886283778073,24139.41643154912,61753.53155111899,4660.587950000771,2,F,Business Entity,Higher education,0
44,1.1386900595930372,36102.2084708944,178822.7413249309,13614.319538671203,3,M,Other,Secondary / secondary special,0
59,1.9841536977793282,17353.99328340122,42551.22154188541,4448.418330833289,2,F,School,Secondary / secondary special,0
45,3.9558429682816088,57852.57104838415,186004.15708141227,15673.206157682016,2,F,Business Entity,Secondary / secondary special,1
33,4.283149192487651,35319.46808696842,103031.33297201901,11533.598791453083,2,F,Other,Secondary / secondary special,0
32,0.11195138679381814,35707.8984752204,74839.21997480314,6833.531978510779,2,M,Business Entity,Higher education,0
64,14.512502055780203,34766.74781688937,76805.51258152975,5134.07500672057,2,M,Government,Higher education,0
61,5.963965507324436,82737.23680570575,390028.2651960288,35016.359244267514,2,F,Other,Lower secondary,0
20,2.0,77609.01285106162,349549.36641985946,17575.383151124464,2,F,Business Entity,Incomplete higher,0
54,13.524817430185863,71351.99239056287,156735.71586581957,11264.253624570858,2,F,Government,Secondary / secondary special,0
24,2.891023680055043,34803.70681876599,158872.6285495922,10256.286873834499,3,F,Business Entity,Secondary / secondary special,1
38,19.67021085610376,20789.17180324938,46404.58009475036,4445.240896701273,1,M,Other,Secondary / secondary special,0
26,3.5901178119199626,36026.50795485332,133042.7280881262,7919.0625035903995,1,F,Government,Secondary / secondary special,0
56,0.6068045995260698,42497.4864310037,75835.99242574678,5331.7875655605485,3,F,Business Entity,Secondary / secondary special,1
35,7.236615987859917,54519.03315831689,249767.702697061,18280.897489659772,3,M,Business Entity,Higher education,0
21,3.0,42429.169752892674,71291.65694854688,3581.0174293965433,2,F,Government,Secondary / secondary special,1
42,7.4137338338021275,21736.602330273035,74823.90864423604,3986.143452350614,3,F,Self-employed,Higher education,0
31,13.0,27786.13029222391,117507.27653987367,8434.534704126125,2,F,School,Secondary / secondary special,0
67,7.491480016074622,26553.89537531362,50689.303846950934,3323.4417596198077,3,M,Business Entity,Secondary / secondary special,0
26,4.72520805640565,47549.49869389936,138639.166870078,8066.508042521121,2,M,Self-employed,Higher education,0
43,9.735365707974657,48136.63105360857,79272.63295763121,4819.087675901706,2,F,Business Entity,Higher education,0
19,1.0,51396.01627388111,199911.6934268175,21687.93729225421,2,F,Other,Higher education,1
37,2.622248869133039,42214.45290696331,108747.53692760823,10639.029300380176,3,M,Business Entity,Higher education,1
45,10.841134896565418,12970.077402664263,44849.01477974783,3762.3043401993527,2,M,Self-employed,Secondary / secondary special,0
64,1.2545041027557111,15322.385778890988,73004.47153364227,8294.858167742537,3,F,Business Entity,Incomplete higher,1
24,6.0,33857.173777809694,87029.97956478166,4531.537493660276,2,F,Self-employed,Secondary / secondary special,0
61,10.666889732811146,38140.7659000349,63702.56039188335,4723.254720770377,2,M,Other,Higher education,0
25,6.571106226761284,67970.7533317123,262686.37919563166,28274.737080566185,2,F,Self-employed,Higher education,0
64,5.974659303075237,37755.92039354697,160611.56992011826,15094.312220877593,2,M,Self-employed,Secondary / secondary special,1
52,6.984518085333706,22292.940427489928,108177.38424074219,12842.615728411476,2,F,Self-employed,Incomplete higher,1
31,3.1279590263514696,50568.412623241304,103781.70845096324,12050.72149028782,1,F,Government,Lower secondary,1
34,10.364144553260017,36003.597880442874,103419.96543928524,6401.279530719122,3,M,Business Entity,Secondary / secondary special,0
53,1.137241989021246,29702.087461888204,132307.6994011155,15617.480411328823,2,F,Other,Higher education,1
67,0.6813122557197921,16198.927187194415,70044.96910226604,8138.345295920317,3,M,Government,Incomplete higher,0
57,1.6809228508354566,37895.72182361508,139713.37786141768,10639.560193027737,2,M,Business Entity,Secondary / secondary special,1
21,3.0,40717.3249575545,99463.87049559804,11816.468987945695,2,F,Business Entity,Incomplete higher,1
19,1.0,22068.948360781185,55042.68310821198,2890.2412376484285,2,F,School,Secondary / secondary special,0
23,5.0,52689.8909792236,101902.80140628702,9808.403350664015,3,F,Business Entity,Higher education,0
59,2.5923459443183763,50382.46109383475,238132.0906287974,16343.087844642203,2,M,Other,Secondary / secondary special,0
21,3.0,37214.594596976334,78346.40863168263,4627.328238384725,3,F,Self-employed,Secondary / secondary special,0
46,0.0672891752620918,36528.98846841233,128037.87087134908,11578.13749362327,2,M,Business Entity,Higher education,0
35,2.6359543379633683,58280.268847599575,206616.95516257593,14761.64951045271,3,M,Business Entity,Secondary / secondary special,0
43,5.217414626594171,43641.55991539373,121917.8928975166,11786.750504244063,3,F,Business Entity,Secondary / secondary special,1
61,0.07814921361502972,25562.2587611965,69882.47655591546,6135.5887528474905,2,F,Business Entity,Secondary / secondary special,0
51,1.6486488474305616,32898.28666020313,126331.37707028225,9788.314028313276,2,F,Business Entity,Secondary / secondary special,0
27,1.165693933892148,47974.49051262576,137161.09399386912,8603.779558773136,2,F,Other,Secondary / secondary special,0
53,0.21446145610230927,13145.562626847302,31456.0677709621,2896.711075677344,3,M,School,Secondary / secondary special,0
31,3.262522873823987,22793.643349391816,66032.29488288437,7134.534845745679,2,F,Business Entity,Secondary / secondary special,1
48,1.0027736362168036,51075.94047733686,220996.26143227203,20331.7251784382,2,M,Business Entity,Secondary / secondary special,0
65,6.794982596297487,66465.53370322227,324529.5727201935,30095.762327298904,2,M,Other,Secondary / secondary special,1
32,9.41700210862913,60507.606908145375,225440.80331327804,19349.27202340956,2,F,Self-employed,Secondary / secondary special,1
25,3.9437240177211406,56763.37873103922,240526.54633513367,18563.07113663716,2,F,Business Entity,Secondary / secondary special,1
31,13.0,38749.4534953301,130387.53288905558,10694.654425872768,2,F,Business Entity,Secondary / secondary special,0
40,2.9935375474248103,21710.43490523774,80043.78989582654,9546.656569796009,2,F,Other,Secondary / secondary special,0
57,3.601237601808146,32915.149691552775,163203.29528881345,16724.55065868752,3,F,Business Entity,Higher education,0
38,20.0,13404.764396063265,40676.30215251021,3259.764787228627,3,F,Self-employed,Secondary / secondary special,0
33,1.316888723098049,69586.65177624453,120516.52650359062,9883.650484537618,1,F,School,Secondary / secondary special,1
62,14.283848007064515,24135.609432572524,117046.22232351171,9945.913850306906,3,M,Self-employed,Secondary / secondary special,0
35,0.21891079033433825,27814.899796059024,118928.6127406666,11435.223211872499,1,M,School,Secondary / secondary special,1
64,2.9564459703805372,61654.99494525557,178434.87542833318,14741.767734810262,2,M,Other,Higher education,0
41,0.36287234664566936,16198.704055479326,79995.3996704259,7842.15208127464,1,F,Other,Secondary / secondary special,0
43,6.532515217462791,20036.25553095136,54285.73235815134,3965.2006996152027,3,F,Business Entity,Secondary / secondary special,1
42,4.687685937415078,41522.29006025503,116362.92459611768,9162.972227399492,3,F,School,Secondary / secondary special,0
62,6.131676004137386,47107.62740415343,171191.93201568385,18913.921265541005,2,M,Business Entity,Incomplete higher,0
58,2.345863072914576,35036.63833125151,86197.69300735026,6294.448256031671,2,M,Other,Secondary / secondary special,0
46,2.306067352938955,35612.730225794636,140492.2277905692,16509.32195400549,2,F,Business Entity,Secondary / secondary special,1
32,0.23189158959617542,68472.60224030333,139340.1065869486,8649.585368322993,2,M,Business Entity,Higher education,0
62,2.153491056320354,49919.11240468286,93752.5168155943,6273.692209805065,2,F,School,Secondary / secondary special,0
18,0.0,46657.31347332209,157331.86825115676,12973.205514512863,2,M,Government,Higher education,1
42,2.3839452888682673,53520.6717655675,184337.39029982124,19506.326564425694,2,F,Business Entity,Secondary / secondary special,0
24,6.0,31247.819060205773,58536.312702056435,5924.476799755413,2,F,Government,Secondary / secondary special,0
26,8.0,107643.79192589826,524722.2488046701,32644.346517416747,1,F,Other,Secondary / secondary special,0
41,2.3359671587942694,11455.603075187892,40169.11000524947,2673.975379391289,2,F,Government,Secondary / secondary special,0
18,0.0,75279.30274482284,152713.28535556776,13785.185337877605,2,F,School,Secondary / secondary special,1
61,0.5011551492607766,57014.09285752129,147669.2847935008,10434.53791809111,3,F,Business Entity,Incomplete higher,0
25,0.5472810173761822,41115.65078860072,176831.00289498316,14069.164892046581,1,F,Business Entity,Secondary / secondary special,0
41,0.24940653046560804,37798.113720975314,125917.2473557766,10584.804308756457,2,F,School,Higher education,1
28,4.349601910418918,33598.0514406365,72522.03978623768,6642.817260310325,2,M,School,Secondary / secondary special,0
34,2.776247723546361,63052.424482327166,117275.70637753248,7924.740817620718,2,F,Government,Incomplete higher,0
25,3.9707234362631363,35598.81974285886,107070.94189306199,6576.27691282302,2,F,Government,Lower secondary,0
52,3.6810374590112187,25236.777400588126,67658.5757326956,5270.56496764871,2,F,Business Entity,Secondary / secondary special,1
52,2.1554762942605734,57010.54003749133,216395.51875359303,12062.283461211502,2,M,Self-employed,Secondary / secondary special,0
50,5.657848557439808,80208.36715509734,380056.4758674892,33016.85981079276,2,M,Business Entity,Higher education,0
22,4.0,13855.193710375066,32796.019406209,3567.300467018089,2,F,Other,Secondary / secondary special,0
59,0.07368153426842183,118012.51007170495,530267.8261857771,30929.618810037347,3,F,Business Entity,Higher education,1
56,1.1611882614751374,21625.62755438961,102107.92906499818,5911.144135719811,2,F,School,Higher education,0
58,6.245476205648942,22468.07881990438,104634.04748212594,5819.248282398168,2,M,Business Entity,Secondary / secondary special,0
45,2.443854572159962,19488.018898381608,94171.38184301314,10297.667940916093,2,M,Government,Higher education,0
24,5.430711025916279,36330.92283067037,161577.42602567855,8991.677544595508,2,M,School,Secondary / secondary special,0
26,2.1306048434912044,19151.586890413226,68509.07613771487,8141.77908913489,3,F,Business Entity,Secondary / secondary special,1
25,2.4776752167618126,20350.68737770644,59718.30546394628,4483.84091045692,2,M,School,Secondary / secondary special,0
29,0.8639092661714031,25738.030838121074,82899.810156008,6052.792948357744,2,F,School,Secondary / secondary special,0
51,1.4935871577617645,38918.610631287615,177240.90307856767,9998.907768393054,2,M,Other,Secondary / secondary special,1
50,4.649562409263526,40840.389092911966,104342.87815928317,9494.66818664112,3,F,Business Entity,Secondary / secondary special,0
65,2.838418454588783,67548.33128680466,138975.01284748223,12648.35980159295,1,F,Self-employed,Higher education,0
40,7.442802412225261,66774.35553216339,133072.42717924068,11253.457158454688,2,F,Self-employed,Secondary / secondary special,0
41,9.572516174089468,60615.48436840628,266373.6025256942,19118.00912132238,2,F,Business Entity,Secondary / secondary special,0
54,3.900571900446266,31862.70283039897,132714.52671158253,10059.849022176762,3,F,Other,Secondary / secondary special,1
52,7.099613379386946,14463.870234922137,46888.377078060694,3396.3707323191,2,F,Business Entity,Secondary / secondary special,0
61,1.8329375084302497,14304.690949017522,35218.864327032985,2811.5306939194875,2,F,Business Entity,Secondary / secondary special,0
57,2.6804711425823435,60407.28190849603,233875.6182824421,17289.294228492545,2,M,Business Entity,Secondary / secondary special,1
39,6.237493578893912,55374.6527171225,90510.74705676598,8805.447761793468,2,M,Government,Higher education,0
44,2.4405283781352747,26679.420216507475,93079.09067983774,6581.162045695545,3,F,Other,Secondary / secondary special,1
52,4.439791260164467,17670.146821303257,51146.02953320585,3813.380255117807,2,F,Government,Higher education,1
18,0.0,21513.253981068006,105899.18028171062,8522.998153217257,2,F,Other,Secondary / secondary special,1
52,4.578595913328855,39630.21657518443,129846.85395299311,6528.352917766824,3,F,Other,Higher education,1
54,9.884919636998795,39667.22265847239,136175.08165009468,11499.411013123046,2,M,School,Secondary / secondary special,0
64,10.149054456886418,61161.038292807156,244232.49791938398,16585.190564543092,2,F,School,Secondary / secondary special,1
31,6.4430152074847005,28993.378966345732,92659.49577420561,4997.175881728599,2,F,Business Entity,Higher education,0
20,2.0,32144.02888764779,73480.93397999046,8360.035412622596,2,F,Government,Higher education,0
18,0.0,63745.932239895665,215491.368560104,15638.060223034965,2,F,Business Entity,Secondary / secondary special,1
22,4.0,12549.706392999997,60300.599389548566,4813.553744813682,2,F,Government,Higher education,0
43,0.7173348306450369,42562.398299864326,124907.37906050762,13479.257537442445,2,M,Other,Higher education,0
31,2.9336687928046894,30726.64924703731,119180.78620424343,7350.502156735914,2,F,Self-employed,Secondary / secondary special,1
56,2.996247115012033,51863.98457679176,255332.60217298535,27964.43937872048,3,F,Government,Secondary / secondary special,0
44,15.910048502604043,46924.879871025776,206691.33674315817,13830.679771877001,3,F,Other,Secondary / secondary special,0
26,2.8201375744909667,25638.36593206996,97595.50282810655,8903.896586595649,2,F,Self-employed,Secondary / secondary special,0
32,3.985239865136343,28179.007695626344,114857.28902360787,11255.725643339416,3,F,Government,Secondary / secondary special,1
32,3.8098224724233782,11487.471517493777,54883.593509962404,6221.108902307908,2,F,Government,Secondary / secondary special,1
43,5.063481165980191,52838.51999846439,256749.3626644394,23758.21488383139,3,F,Business Entity,Secondary / secondary special,0
59,6.896252762087091,40940.98465229021,200258.2597106844,16366.35180900469,2,F,School,Secondary / secondary special,1
30,1.27473142428767,73076.06600734426,269632.1002291608,24282.758127266698,2,M,Government,Secondary / secondary special,0
49,3.761561293064735,29741.539438913773,84659.01763313847,5430.518076009892,2,F,School,Secondary / secondary special,0
56,8.741135725559698,57363.74708124232,112779.1890657018,11078.88657608369,1,F,Self-employed,Secondary / secondary special,0
66,3.109854135511899,21269.661150832104,60606.155436866415,3823.1362756314966,1,M,Business Entity,Secondary / secondary special,0
49,1.63182030857097,9391.920722487386,45084.451148730004,4012.846749550704,2,F,Self-employed,Secondary / secondary special,0
21,3.0,34639.26103760286,159835.58826438285,15237.487265519678,3,M,Self-employed,Higher education,0
47,8.67975270865187,27355.12353479041,91169.39691289388,10293.099910013852,2,M,Other,Lower secondary,0
54,0.3261086679830576,21473.809035005703,72571.28528204432,5915.52406454889,2,F,Business Entity,Secondary / secondary special,1
40,7.498222061597602,56900.11816030631,146871.7926197286,15314.810291662141,3,M,Business Entity,Secondary / secondary special,0
56,8.619978887294911,66444.56943820498,205365.38787430795,12676.616853511996,2,F,Self-employed,Secondary / secondary special,0
62,3.0950518002916256,38281.06397354802,153146.0657183686,9331.764619718799,3,F,Government,Secondary / secondary special,1
32,14.0,33148.09292133256,96411.47819060188,8362.33256732621,2,M,Self-employed,Secondary / secondary special,0
60,7.725473787223819,37472.1843834463,80862.85867958509,7418.670264957428,2,F,Other,Secondary / secondary special,0
46,7.428641587781013,26200.58133991334,88898.79586954202,8379.944790480502,2,M,Business Entity,Secondary / secondary special,0
53,6.888429094115889,48112.53255399659,110114.15203886681,11253.356140382328,3,F,School,Secondary / secondary special,0
30,0.816173005402554,16819.83303528789,82585.48862464905,5834.268703161248,1,F,Business Entity,Incomplete higher,0
49,1.2245875030851918,21236.16568564571,60866.87933534351,5696.077202314432,1,F,Other,Secondary / secondary special,0
24,3.118013533169277,24449.607078052795,114517.7395668675,7234.0556570620265,2,F,Business Entity,Secondary / secondary special,0
39,1.5326553527086997,47604.26873430874,108987.06884092012,7120.1077295373425,3,F,Business Entity,Secondary / secondary special,0
45,2.682777175658731,31218.15424727094,67500.87706503594,3693.082483217468,1,F,Business Entity,Secondary / secondary special,0
19,1.0,71696.35563638718,262348.003045007,26835.587995536545,2,M,Self-employed,Secondary / secondary special,1
59,8.695651755811005,54266.09330474402,229427.64219752292,19613.65623631596,2,F,Government,Higher education,0
62,4.971800294140706,24329.707468574452,84756.81735015039,5650.991231651834,2,F,Business Entity,Secondary / secondary special,0
23,5.0,49847.96216414874,114863.90614266193,10215.60996138231,2,F,Business Entity,Secondary / secondary special,0
45,7.657118357789021,29610.860622074386,48343.58737513268,3615.9463083672144,2,F,Business Entity,Secondary / secondary special,0
45,2.80169840302034,46008.90517574322,168577.12887251136,18308.267449438004,2,F,Self-employed,Secondary / secondary special,0
61,1.12237939265255,55597.08672294063,108894.1380234476,9470.5614771409,2,F,Business Entity,Secondary / secondary special,0
61,3.6098020161713174,63408.75997962561,171274.5020154671,8921.132270579068,1,M,School,Secondary / secondary special,0
37,6.663367655772636,40175.42562878926,155287.92883584267,18472.534912307594,2,M,Government,Secondary / secondary special,0
47,2.8672263687267203,80826.63596680776,148970.12126894892,8223.284421025339,2,M,Other,Secondary / secondary special,0
28,5.494640339364034,45281.65117225868,88090.02667394586,8695.989613388367,2,M,Business Entity,Higher education,0
45,0.4953871796563408,38852.43690122309,66664.24385105495,5373.665284845782,2,M,School,Higher education,0
42,6.8917249338598054,31217.771349331295,155660.45374618738,10499.647289603932,3,M,Business Entity,Secondary / secondary special,1
56,8.375581945852806,26485.309238736918,75609.431562509,7360.735158971746,2,M,School,Secondary / secondary special,0
50,6.135147148950837,44799.0343297321,209224.17234727085,12305.062491438168,2,F,Self-employed,Secondary / secondary special,0
18,0.0,38191.90337097771,96531.93522479098,10625.971790400044,1,M,School,Higher education,0
44,8.7622723787277,41374.20095873099,171132.3414627374,11558.76418949273,2,M,Other,Secondary / secondary special,1
30,11.670055171919337,46183.2710854064,104685.15187232017,7882.975772207204,2,F,Government,Secondary / secondary special,0
58,13.558114136011888,41286.90832845572,133940.36561036424,12628.574676854018,2,F,Business Entity,Secondary / secondary special,0
20,2.0,99374.19024683641,435870.6101208552,21824.93589428659,2,M,Self-employed,Secondary / secondary special,0
56,5.608261034402458,27889.834816090413,121520.76261370271,10097.452180842583,3,M,School,Secondary / secondary special,0
23,0.02867497526222427,45077.867942508215,192932.48641670597,21723.70107388956,3,M,Government,Secondary / secondary special,0
25,3.1351659421108717,32407.766896352405,142045.52529242844,13867.776067354298,1,M,Other,Secondary / secondary special,0
44,4.233383750508237,10606.941700979403,23761.172108615126,1833.2463186918621,2,M,Self-employed,Higher education,1
26,1.812245572450995,32967.04115770139,105090.91470199272,10112.868242265766,1,F,Other,Secondary / secondary special,0
54,1.9143939040966256,22737.06001576837,72691.52138612651,8400.222015903057,2,F,Government,Secondary / secondary special,0
50,16.24144796082287,35122.20289490079,162150.73597901638,10239.230723151712,2,F,Business Entity,Secondary / secondary special,0
59,11.114752275282624,35839.242789269985,91000.18842989327,7937.633452393818,2,F,Other,Incomplete higher,0
61,9.458308061438096,44032.30922358421,209604.16709909524,13924.346618746657,2,M,Business Entity,Secondary / secondary special,0
41,2.6044791400448637,27858.971010129164,85743.9252375388,9414.316413675091,3,F,Other,Higher education,0
32,0.06896620648466499,29657.002309694904,114009.06491536954,11454.891791714508,2,F,Other,Secondary / secondary special,0
49,0.4181160517839756,51552.0278601659,125843.18572398213,13348.855492966792,2,F,Other,Secondary / secondary special,0
49,1.8712595035473065,24233.002802758027,71149.14730896987,8254.071609948352,2,F,Business Entity,Higher education,0
41,0.0793407438670999,14483.6181164117,57707.126910286344,3823.7673883885086,2,M,Other,Higher education,0
58,0.08649271344067468,39281.764339900496,129418.28988237183,6912.275124462375,1,F,Self-employed,Higher education,0
66,12.420732792197821,62033.16086985766,295121.4006465337,20765.703966794546,2,F,Self-employed,Secondary / secondary special,0
66,6.123573899381802,51256.11658213961,209121.7460299732,16298.896940566474,2,M,Self-employed,Secondary / secondary special,0
29,1.8477588351866192,39645.87148829377,137785.66771587665,12918.947683202281,2,M,School,Secondary / secondary special,0
56,0.7115322055459462,67868.18667197524,312420.6199709971,33066.38577591466,1,M,Business Entity,Higher education,1
19,1.0,62380.53830558363,238882.98777714308,17793.49320966071,2,F,Government,Higher education,0
20,0.026802513555290158,30777.609371539977,115896.83239928033,9636.217683903007,2,M,Business Entity,Secondary / secondary special,1
66,13.936582739583418,41099.89575755318,97090.27002138887,10192.799527398745,2,M,Self-employed,Secondary / secondary special,0
54,2.679137232231633,41991.819786935164,121020.3985636712,7959.8759869542555,2,F,School,Higher education,0
66,2.5736240388775506,34773.980023767755,135325.1265160209,8823.094719126551,2,M,Government,Secondary / secondary special,0
34,2.476349613968438,64031.07461964717,295904.94761053397,27000.234369550508,2,M,Business Entity,Secondary / secondary special,1
66,0.3592436406229328,33655.43317147329,87652.75394810279,7058.14844249919,2,F,Business Entity,Higher education,0
19,1.0,28278.598322029895,63745.60719788944,7421.440561328565,2,F,Government,Secondary / secondary special,0
19,1.0,9939.0763352363,35561.378289662134,2666.823788485771,2,M,Self-employed,Secondary / secondary special,1
45,5.636994338492897,24363.66248435614,42275.57968989356,4361.52472564176,3,M,School,Higher education,0
40,0.745026743302405,18812.76759291705,75267.9257662682,6835.56898140646,2,F,Self-employed,Secondary / secondary special,1
54,4.323714344882249,35589.35745904822,140968.90754959645,7586.992621712876,3,F,Government,Secondary / secondary special,0
49,4.21385957176053,19402.464533044884,53208.95219282337,2974.752270927165,2,F,Other,Secondary / secondary special,0
50,10.140351193447696,49234.13047585403,227676.92391559834,14621.629297101395,3,M,Business Entity,Secondary / secondary special,0
18,0.0,63210.06375620924,205915.2525428035,12359.174221168707,3,F,Business Entity,Secondary / secondary special,0
36,2.321984431502343,35754.149835706754,134441.9435735908,9821.791204466479,1,F,Business Entity,Higher education,0
19,1.0,22203.187571792972,49591.36756689935,4489.468028876584,1,F,Business Entity,Incomplete higher,0
61,5.012957082320687,41906.66607357721,124072.696336413,11435.206958629597,2,F,Other,Secondary / secondary special,0
43,3.1676527666515026,93595.49482015752,422907.6297111985,38545.3851446242,2,F,Other,Higher education,1
49,2.9264830991694084,80116.75719921479,179885.22692402083,10475.185261245684,3,M,Other,Secondary / secondary special,0
23,3.407552457466606,17979.017336348898,51546.02827506372,4743.047933727067,1,M,School,Secondary / secondary special,0
49,9.868036473371356,17648.558511080297,46120.41153531773,3628.8592300683376,3,F,Business Entity,Secondary / secondary special,0
21,3.0,15525.386162759369,31499.233150169894,3566.1443089859526,1,M,Self-employed,Lower secondary,0
28,10.0,20568.381008844946,51709.17135124516,5886.514862193482,2,F,Government,Incomplete higher,0
34,3.5059347009090818,41183.634451963146,95327.88190853123,9892.38096390047,3,M,Other,Secondary / secondary special,0
55,14.899362848919681,27492.069559619013,130108.35550655206,12909.025837536785,1,F,Business Entity,Secondary / secondary special,1
41,8.943776985943314,23876.85794621046,97746.50361987101,5673.861014950598,2,M,Business Entity,Incomplete higher,0
22,2.250466392609303,61056.496323204774,159134.93721539495,8900.193423804698,1,F,Other,Secondary / secondary special,0
51,9.962336274432783,47336.95502229911,197474.94503884955,21496.798334947525,3,F,Other,Higher education,0
23,0.5830246231402079,15485.334386944896,24427.957596559983,1951.5765778518198,2,M,Other,Secondary / secondary special,0
39,12.95448183962862,59329.52404787594,198328.89778505435,16182.717667217776,3,M,School,Secondary / secondary special,0
28,4.993520503475551,46770.940578061316,111135.75138483453,12152.196114664543,2,F,Other,Secondary / secondary special,1
65,0.27962924333281824,47293.664803808,89863.98130897258,8402.29727173852,2,M,Business Entity,Secondary / secondary special,0
33,5.167729710613942,27303.303687203825,125408.30172964303,7845.356104449534,1,M,Business Entity,Higher education,0
50,18.29614777423666,33068.87908246787,72675.20670687426,4707.240437761613,2,M,Government,Secondary / secondary special,0
26,0.3617818296387243,13543.19161105201,59297.087945056956,2991.3247259697846,2,F,Other,Secondary / secondary special,0
23,4.04489733585142,56021.64070715497,165055.4043574565,16463.765998292183,2,M,Business Entity,Secondary / secondary special,0
33,6.887552259466442,22038.286039705392,34159.73333215421,2869.172199608683,2,F,Government,Secondary / secondary special,1
46,8.310465582143921,23498.349989467253,95494.11979011644,11124.823727718129,1,F,Government,Secondary / secondary special,1
20,2.0,23340.127132849964,83727.08470741994,8371.108955831713,2,F,Government,Secondary / secondary special,0
37,1.1418268010940862,89339.63938390964,241628.13082489368,13826.127463989475,2,M,Business Entity,Secondary / secondary special,0
53,0.21632424791881233,25994.70045616889,64607.5084439827,3960.95080879471,1,F,Business Entity,Incomplete higher,0
36,4.334243866287563,58170.296660023036,102258.6920307634,8704.334031314347,2,F,Other,Secondary / secondary special,0
43,3.0157195628355247,35882.462578629355,172056.0342382859,19741.914425982188,1,F,Government,Secondary / secondary special,1
20,2.0,23991.26640431484,77466.52999570628,5214.084377752027,3,F,Self-employed,Higher education,0
36,0.3125956485543101,21912.224871240378,39427.45092082267,4249.909148488523,2,M,Business Entity,Secondary / secondary special,1
37,5.7821924348042195,26517.81250735383,120400.91935534195,8651.8980209228,3,F,Business Entity,Secondary / secondary special,0
49,0.12641582302475063,34988.31041744325,86628.12124447119,5968.054114450158,2,F,Business Entity,Secondary / secondary special,0
24,0.9402949826065248,49063.396805409844,108558.13812273428,12277.653207062294,2,F,Business Entity,Secondary / secondary special,0
58,3.0218276897037106,28695.745784486582,71259.60126877601,3798.629254446759,1,M,Business Entity,Secondary / secondary special,0
50,3.033677309006522,28163.83900013223,97897.5073251801,9422.818413823556,2,F,Business Entity,Higher education,1
